time(sec), throughput(txs), avg_latency(MicroSecond), min(MicroSecond), max(MicroSecond), 25th_lat(MicroSecond), median_lat(MicroSecond), 75th_lat(MicroSecond)
3230,4,671152,1250,2438,1700,1803,2438
3235,4,672220,768,2403,1100,1204,2403
3240,6,448932,738,1076,781,919,1064
3245,4,674407,785,1950,859,1041,1950
3250,4,675464,994,1822,1063,1238,1822
3255,5,541143,763,2840,995,995,2840
3260,4,677509,1010,2107,1204,1563,2107
3265,4,678565,1109,2497,1361,1556,2497
3270,5,543587,766,1227,949,949,1227
3275,5,544354,756,2271,1108,1108,2271
3280,3,908547,1164,2069,1800,1800,1800
3285,2,1364299,1326,2956,2956,2141,2956
3290,5,546701,742,2295,1122,1122,2295
3295,6,456325,749,1146,755,766,1018
3300,6,457052,751,1063,841,851,1036
3305,5,549429,829,1848,1009,1009,1848
3310,3,917068,1022,2391,1667,1667,1667
3315,5,551111,735,1720,1106,1106,1720
3320,3,920074,875,2584,2083,2083,2083
3325,4,691098,858,2285,1032,1655,2285
3330,6,461421,696,1072,745,761,857
3335,4,693081,1088,2373,1308,1354,2373
3340,3,925596,1837,2625,2039,2039,2039
3345,2,1390443,3251,4097,4097,3674,4097
3350,4,696207,856,1594,908,1175,1594
3355,4,696961,813,1615,1064,1101,1615
3360,4,698034,1340,2177,1390,1475,2177
3365,3,931703,849,1864,1108,1108,1108
3370,4,699826,832,2171,1193,1613,2171
3375,4,700637,763,1095,1058,1075,1095
3380,3,935621,1756,2558,1760,1760,1760
3385,5,562315,873,2136,1103,1103,2136
3390,5,563087,712,1769,1115,1115,1769
3395,4,704618,736,1270,1030,1054,1270
3400,3,940638,1713,3722,1730,1730,1730
3405,3,941904,1529,2490,2268,2268,2268
3410,5,565924,804,1262,1098,1098,1262
3415,5,566787,767,1998,782,782,1998
3420,4,709426,808,1535,1085,1255,1535
3425,3,946980,739,2495,1261,1261,1261
3430,5,569053,982,2947,1084,1084,2947
3435,4,712475,1049,1770,1250,1433,1770
3440,4,713582,773,2610,1622,1826,2610
3445,4,714569,828,1784,1077,1082,1784
3450,5,572383,780,1124,947,947,1124
3455,3,955447,1109,3316,1467,1467,1467
3460,3,956776,1409,2577,1867,1867,1867
3465,6,479154,758,2304,830,852,1350
3470,6,479887,724,1137,764,781,996
3475,6,480689,732,1306,790,819,1134
3480,5,577724,725,1701,1140,1140,1701
3485,3,964285,1302,2247,1985,1985,1985
3490,3,965472,1172,3430,2389,2389,2389
3495,3,967018,1795,2551,2088,2088,2088
3500,6,484281,762,1168,817,954,1109
3505,5,582087,758,1955,1046,1046,1955
3510,3,971081,792,2014,1047,1047,1047
3515,2,1457506,1770,2713,2713,2241,2713
3520,4,729773,1172,4448,1433,1454,4448
3525,5,584576,738,1221,1049,1049,1221
3530,5,585463,1069,2365,1095,1095,2365
3535,6,488697,815,1834,881,1009,1163
3540,3,978649,1125,2639,1825,1825,1825
3545,5,588173,816,1904,1225,1225,1904
3550,2,1471490,1086,2115,2115,1600,2115
3555,6,491294,689,3206,816,919,1520
3560,4,737956,724,1917,1053,1071,1917
3565,6,492675,736,1241,750,752,1238
3570,3,986436,1366,2220,1887,1887,1887
3575,2,1481275,2157,3242,3242,2699,3242
3580,6,494483,754,1672,773,871,1092
3585,5,594305,739,1363,1100,1100,1363
3590,6,496049,769,1669,829,969,1253
3595,5,596060,778,1279,800,800,1279
3600,3,994519,1044,2209,1726,1726,1726
3605,5,597512,801,1722,1060,1060,1722
3610,3,997075,1337,2324,1708,1708,1708
3615,4,748964,1054,1795,1354,1569,1795
3620,6,500064,762,1404,778,793,1081
3625,4,751077,877,1737,1086,1092,1737
3630,3,1002888,1152,2587,1769,1769,1769
3635,3,1004241,1859,2782,2200,2200,2200
3640,4,754361,1274,2083,1366,1522,2083
3645,6,503686,707,1166,829,934,1053
3650,5,605361,716,2221,771,771,2221
3655,4,757420,660,1266,685,816,1266
3660,3,1011192,1770,3027,2124,2124,2124
3665,5,607456,743,1320,899,899,1320
3670,3,1014013,1260,2704,2054,2054,2054
3675,4,761539,844,2048,1225,1528,2048
3680,5,610110,786,1389,1119,1119,1389
3685,4,763674,783,2212,1150,1393,2212
3690,3,1019781,1639,3007,1786,1786,1786
3695,4,765834,1118,2007,1146,1438,2007
3700,6,511329,720,1637,905,1002,1154
3705,5,614508,741,1657,1034,1034,1657
3710,4,769060,860,1738,1099,1206,1738
3715,3,1026705,1344,2531,1491,1491,1491
3720,5,616945,990,1616,1171,1171,1616
3725,3,1029735,1148,3333,1315,1315,1315
3730,6,515611,725,2755,786,919,1167
3735,6,516354,719,1142,789,828,905
3740,4,775175,704,1069,738,770,1069
3745,3,1034832,1698,2773,2100,2100,2100
3750,3,1036135,1359,2774,2549,2549,2549
3755,5,622561,765,1662,1137,1137,1662
3760,5,623370,736,1173,984,984,1173
3765,5,624192,779,1358,1003,1003,1358
3770,4,780990,737,2048,1007,1132,2048
3775,4,782137,818,2680,1088,1516,2680
3780,4,783280,732,1812,1053,1379,1812
3785,3,1045764,1778,2395,2216,2216,2216
3790,5,628286,775,1203,1071,1071,1203
3795,6,524355,746,1699,841,945,1280
3800,3,1049775,1047,2136,1055,1055,1055
3805,3,1051141,2009,2404,2090,2090,2090
3810,4,789548,1086,2588,1093,1749,2588
3815,5,632554,759,1537,1112,1112,1537
3820,6,527861,709,1184,834,846,1087
3825,5,634297,730,1927,884,884,1927
3830,3,1058633,1640,2600,1813,1813,1813
3835,5,636087,781,1784,821,821,1784
3840,3,1061549,1173,2961,1249,1249,1249
3845,4,797299,756,2598,1196,1726,2598
3850,6,532338,771,1762,952,1046,1145
3855,5,639612,718,1290,1124,1124,1290
3860,3,1067077,1392,3651,1781,1781,1781
3865,5,641229,720,2557,1129,1129,2557
3870,5,642005,707,1662,730,730,1662
3875,6,535790,739,1245,1024,1034,1066
3880,5,643721,718,1304,811,811,1304
3885,3,1074254,1551,2604,2542,2542,2542
3890,6,537836,736,1215,868,893,964
3895,2,1614287,1113,1558,1558,1335,1558
3900,4,808196,1015,3988,1160,1597,3988
3905,5,647402,722,1746,1020,1020,1746
3910,6,540273,732,1301,853,972,1131
3915,3,1081794,765,2543,1200,1200,1200
3920,3,1083246,1466,2324,2033,2033,2033
3925,4,813559,752,2087,1659,1750,2087
3930,5,651793,771,1470,1085,1085,1470
3935,6,543974,824,1880,933,1005,1167
3940,3,1088695,1047,1125,1115,1115,1115
3945,6,545161,842,7145,1026,1032,1047
3950,4,818945,979,1852,1257,1480,1852
3955,4,819969,1115,1820,1249,1489,1820
3960,6,547431,728,1155,912,994,1098
3965,6,548250,723,1162,825,944,1161
3970,3,1097979,1249,3183,2020,2020,2020
3975,4,824663,787,2672,1256,1831,2672
3980,4,825434,834,1230,1121,1126,1230
3985,5,661200,881,2009,1077,1077,2009
3990,5,662175,737,1663,1251,1251,1663
3995,4,828762,715,1781,1056,1366,1781
4000,5,663845,707,1771,1104,1104,1771
4005,3,1107767,829,2697,1376,1376,1376
4010,3,1108817,1251,2880,1900,1900,1900
4015,6,555203,822,1973,866,983,1125
4020,6,555956,786,1112,894,903,924
4025,3,1113165,1053,1882,1878,1878,1878
